DWHName,IncomingFileName,FriendlyName,FileType,Affiliate,Brand,Data Granularity,Data Owner,Vendor Name,VendorContact,Source System Name,PullType,Data Business Owner,Data Technical Owner,Data Type,SubDataType,Data Set Description,File Location,LocatedIn,File Current Status,Deactivation Date,Reason For Deactivation,When is the File Sent,Load Frequency,File Pre Processed,Landing Zone Table Name,Transformation Layer Table Name,Reporting Layer table Name,Comment
Global Datawarehouse,All Brands_8_Engagement_weekly,All Brands 8 Engagement Weekly,csv,Turkey,All Brands,"Region, Volume, Price",Sridhar,IQVIA,iqvia218@veeva.com,Veeva CRM,Automated,smith432@vendor.net,johanna@dr.com551@company.com,Engagement Data,Regional Sales Data,"Contains engagement data for All Brands in Turkey, with fields: revenue, volume, ta, rep.",s3/engagement/allbrands/turkey/,gcs,Inactive,04/19/2024,Contract expired on 04/19/2024,Beginning of week,Weekly,No,all_brands_turkey_engagement_z,all_brands_engagement_weekly_xform,all_brands_engagement_turkey_m_rpt,Schema change expected next quarter
Global Datawarehouse,NeuroMax_9_Engagement_weekly,Neuromax 9 Engagement Weekly,psv,Turkey,NeuroMax,"Units, Rep, Country, HCP",Sridhar,IQVIA,iqvia420@iqvia.com,IQVIA,Automated,smith@dr.com277@vendor.net,akira761@company.com,Engagement Data,Regional Sales Data,"Contains engagement data for NeuroMax in Turkey, with fields: hcp, ta, region, rep.",s3/engagement/neuromax/turkey/,s3,Active,,,Beginning of week,Weekly,Yes,neuromax_turkey_engagement_z,neuromax_engagement_weekly_xform,,New processing pipeline in progress
Global Datawarehouse,All Brands_10_Sales_weekly,All Brands 10 Sales Weekly,psv,Turkey,All Brands,"Brand, Units, Country, HCP",Lakshya Mishra,IQVIA,iqvia133@dr.com,Veeva CRM,Automated,smith@dr.com215@vendor.net,maria235@dr.com,Sales Data,Regional Sales Data,"Contains sales data for All Brands in Turkey, with fields: volume, price, rep.",gcs/sales/allbrands/turkey/,s3,Active,,,Monthly,Weekly,Yes,all_brands_turkey_sales_z,all_brands_sales_weekly_xform,all_brands_sales_turkey_metric_rpt,Schema change expected next quarter
Japan Datawarehouse,All Brands_11_Sales_weekly,All Brands 11 Sales Weekly,psv,Germany,All Brands,"Region, Country, Revenue",Lakshya Mishra,IQVIA,iqvia134@veeva.com,Veeva CRM,Automated,smith@dr.com556@vendor.net,johanna@dr.com672@vendor.net,Sales Data,Weekly Rep HCP Engagement Data,"Contains sales data for All Brands in Germany, with fields: rep, engagement.",s3/sales/allbrands/germany/,s3,Active,,,End of Quarter,Weekly,No,all_brands_germany_sales_z,all_brands_sales_weekly_xform,all_brands_sales_germany_metri_rpt,New processing pipeline in progress
US Datawarehouse,All Brands_12_Sales_qtr,All Brands 12 Sales Qtr,csv,Spain,All Brands,"Units, Revenue, Brand, HCP, Country",Lakshya Mishra,Veeva,veeva709@iqvia.com,Veeva CRM,Automated,sridhar450@veeva.com,johanna@dr.com824@veeva.com,Sales Data,Regional Sales Data,"Contains sales data for All Brands in Spain, with fields: revenue, rep, price, volume.",s3/sales/allbrands/spain/,s3,Active,,,End of Quarter,Quarterly,Yes,all_brands_spain_sales_z,all_brands_sales_quarterly_xform,,Backfill required for last 3 months
US Datawarehouse,Dermalix_13_Engagement_qtr,Dermalix 13 Engagement Qtr,json,Turkey,Dermalix,"Region, HCP, Units, Price, Volume",Sridhar,Veeva,veeva236@vendor.net,IQVIA,Manual,sridhar990@dr.com,ananya825@iqvia.com,Engagement Data,Weekly Rep HCP Engagement Data,"Contains engagement data for Dermalix in Turkey, with fields: rep, region, ta.",gcs/engagement/dermalix/turkey/,s3,Active,,,Beginning of week,Quarterly,No,dermalix_turkey_engagement_z,dermalix_engagement_quarterly_xform,dermalix_engagement_turkey_met_rpt,New processing pipeline in progress
EU Datawarehouse,Respira_14_Sales_weekly,Respira 14 Sales Weekly,psv,US,Respira,"Price, Engagement, Region",Sridhar,Veeva,veeva195@dr.com,SAP BW,Automated,jones@dr.com667@vendor.net,johanna@dr.com672@veeva.com,Sales Data,Regional Sales Data,"Contains sales data for Respira in US, with fields: volume, ta.",adls/sales/respira/us/,s3,Inactive,03/23/2025,Contract expired on 03/23/2025,Monthly,Weekly,No,respira_us_sales_z,respira_sales_weekly_xform,respira_sales_us_metrics_rpt,This file is set to expire by end of 2025
Global Datawarehouse,All Brands_15_Claims_qtr,All Brands 15 Claims Qtr,psv,US,All Brands,"HCP, Brand, Price, Units, Country",Lakshya Mishra,IQVIA,iqvia274@veeva.com,IQVIA,Manual,smith@dr.com806@dr.com,johanna@dr.com883@iqvia.com,Claims Data,Regional Sales Data,"Contains claims data for All Brands in US, with fields: engagement, price.",adls/claims/allbrands/us/,s3,Inactive,04/14/2024,Contract expired on 04/14/2024,Beginning of week,Quarterly,Yes,all_brands_us_claims_z,all_brands_claims_quarterly_xform,all_brands_claims_us_metrics_rpt,New processing pipeline in progress
US Datawarehouse,CardioX_16_Sales_weekly,Cardiox 16 Sales Weekly,psv,US,CardioX,"Region, Engagement, Price, Rep",Ananya,AWS Data Exchange,aws118@iqvia.com,Oracle EBS,Automated,jones@dr.com606@dr.com,ananya574@iqvia.com,Sales Data,Regional Sales Data,"Contains sales data for CardioX in US, with fields: engagement, ta.",adls/sales/cardiox/us/,s3,Inactive,05/25/2024,Contract expired on 05/25/2024,Beginning of week,Weekly,Yes,cardiox_us_sales_z,cardiox_sales_weekly_xform,cardiox_sales_us_metrics_rpt,PII masked at source
US Datawarehouse,All Brands_17_Marketing_daily,All Brands 17 Marketing Daily,json,US,All Brands,"Volume, Engagement, Revenue",Lakshya Mishra,Veeva,veeva779@iqvia.com,IQVIA,Manual,jones@dr.com229@company.com,akira798@dr.com,Marketing Data,Regional Sales Data,"Contains marketing data for All Brands in US, with fields: engagement, rep.",gcs/marketing/allbrands/us/,s3,Inactive,10/26/2024,Contract expired on 10/26/2024,End of Month,Daily,Yes,all_brands_us_marketing_z,all_brands_marketing_daily_xform,all_brands_marketing_us_metric_rpt,This file is set to expire by end of 2025
Japan Datawarehouse,All Brands_18_Engagement_qtr,All Brands 18 Engagement Qtr,psv,US,All Brands,"TA, Region, Rep",Lakshya Mishra,IQVIA,iqvia228@vendor.net,IQVIA,Manual,smith@dr.com216@company.com,johanna@dr.com696@vendor.net,Engagement Data,Campaign Metrics,"Contains engagement data for All Brands in US, with fields: region, rep, ta, engagement.",adls/engagement/allbrands/us/,s3,Active,,,Beginning of week,Quarterly,No,all_brands_us_engagement_z,all_brands_engagement_quarterl_xform,,New processing pipeline in progress
Japan Datawarehouse,Respira_19_Sales_qtr,Respira 19 Sales Qtr,psv,Germany,Respira,"Units, Region, TA, Revenue, Brand",Lakshya Mishra,Veeva,veeva436@iqvia.com,IQVIA,SFTP Drop,smith@dr.com117@veeva.com,johanna@dr.com937@dr.com,Sales Data,Monthly Claims Summary,"Contains sales data for Respira in Germany, with fields: revenue, engagement, region, hcp.",adls/sales/respira/germany/,s3,Deprecated,06/26/2023,Replaced by new pipeline on 06/26/2023,Beginning of week,Quarterly,Yes,respira_germany_sales_z,respira_sales_quarterly_xform,respira_sales_germany_metrics_rpt,PII masked at source
US Datawarehouse,Diab_1_20_Engagement_qtr,Diab 1 20 Engagement Qtr,csv,Turkey,Diab_1,"TA, Units, Volume, Price, Region",Sridhar,AWS Data Exchange,aws222@dr.com,IQVIA,Manual,jones@dr.com831@company.com,johanna@dr.com897@vendor.net,Engagement Data,Regional Sales Data,"Contains engagement data for Diab_1 in Turkey, with fields: volume, hcp, rep.",gcs/engagement/diab_1/turkey/,s3,Active,,,End of Quarter,Quarterly,Yes,diab_1_turkey_engagement_z,diab_1_engagement_quarterly_xform,diab_1_engagement_turkey_metri_rpt,New processing pipeline in progress
Japan Datawarehouse,All Brands_21_Marketing_weekly,All Brands 21 Marketing Weekly,parquet,Australia,All Brands,"Region, Units, Volume",Sridhar,Veeva,veeva746@veeva.com,SAP BW,Manual,smith707@company.com,johanna@dr.com532@vendor.net,Marketing Data,Campaign Metrics,"Contains marketing data for All Brands in Australia, with fields: rep, engagement.",adls/marketing/allbrands/australia/,s3,Active,,,Monthly,Weekly,No,all_brands_australia_marketing_z,all_brands_marketing_weekly_xform,all_brands_marketing_australia_rpt,New processing pipeline in progress
Japan Datawarehouse,Diab_1_22_Sales_qtr,Diab 1 22 Sales Qtr,psv,US,Diab_1,"Volume, Rep, Engagement, Revenue",Lakshya Mishra,Veeva,veeva981@company.com,Veeva CRM,Automated,jones@dr.com702@veeva.com,maria558@veeva.com,Sales Data,Weekly Rep HCP Engagement Data,"Contains sales data for Diab_1 in US, with fields: price, hcp, revenue, engagement.",adls/sales/diab_1/us/,s3,Active,,,End of Quarter,Quarterly,No,diab_1_us_sales_z,diab_1_sales_quarterly_xform,diab_1_sales_us_metrics_rpt,Backfill required for last 3 months
US Datawarehouse,All Brands_23_Marketing_weekly,All Brands 23 Marketing Weekly,csv,US,All Brands,"Rep, Revenue, HCP, Country, Price",Sridhar,IMS Health,ims817@vendor.net,Veeva CRM,Manual,smith@dr.com17@veeva.com,johanna@dr.com569@iqvia.com,Marketing Data,Regional Sales Data,"Contains marketing data for All Brands in US, with fields: price, engagement.",adls/marketing/allbrands/us/,s3,Active,,,Monthly,Weekly,No,all_brands_us_marketing_z,all_brands_marketing_weekly_xform,all_brands_marketing_us_metric_rpt,New processing pipeline in progress
Global Datawarehouse,Diab_1_24_Sales_daily,Diab 1 24 Sales Daily,tsv,Turkey,Diab_1,"Rep, HCP, Region",Sridhar,Veeva,veeva497@company.com,IQVIA,Automated,miguel349@iqvia.com,johanna@dr.com397@veeva.com,Sales Data,Regional Sales Data,"Contains sales data for Diab_1 in Turkey, with fields: price, engagement, hcp.",s3/sales/diab_1/turkey/,s3,Active,,,Monthly,Daily,No,diab_1_turkey_sales_z,diab_1_sales_daily_xform,diab_1_sales_turkey_metrics_rpt,Schema change expected next quarter
US Datawarehouse,Diab_1_25_Engagement_daily,Diab 1 25 Engagement Daily,csv,Turkey,Diab_1,"Volume, HCP, Region",Ananya,Veeva,veeva845@veeva.com,Veeva CRM,Automated,akira153@company.com,johanna@dr.com772@dr.com,Engagement Data,Campaign Metrics,"Contains engagement data for Diab_1 in Turkey, with fields: price, rep.",gcs/engagement/diab_1/turkey/,s3,Inactive,01/20/2023,Contract expired on 01/20/2023,End of Quarter,Daily,Yes,diab_1_turkey_engagement_z,diab_1_engagement_daily_xform,diab_1_engagement_turkey_metri_rpt,Backfill required for last 3 months
Japan Datawarehouse,OncoPro_26_Engagement_qtr,Oncopro 26 Engagement Qtr,parquet,China,OncoPro,"HCP, Revenue, Price",Lakshya Mishra,IQVIA,iqvia328@dr.com,IQVIA,Automated,jones@dr.com901@veeva.com,johanna@dr.com914@vendor.net,Engagement Data,Regional Sales Data,"Contains engagement data for OncoPro in China, with fields: rep, revenue, hcp.",gcs/engagement/oncopro/china/,s3,Active,,,Beginning of week,Quarterly,No,oncopro_china_engagement_z,oncopro_engagement_quarterly_xform,oncopro_engagement_china_metri_rpt,PII masked at source
Global Datawarehouse,NeuroMax_27_Sales_weekly,Neuromax 27 Sales Weekly,csv,India,NeuroMax,"Region, Revenue, Brand",Lakshya Mishra,IQVIA,iqvia700@vendor.net,Veeva CRM,Manual,jones@dr.com675@dr.com,johanna@dr.com414@veeva.com,Sales Data,Regional Sales Data,"Contains sales data for NeuroMax in India, with fields: ta, volume.",adls/sales/neuromax/india/,s3,Inactive,11/02/2023,Contract expired on 11/02/2023,End of Quarter,Weekly,No,neuromax_india_sales_z,neuromax_sales_weekly_xform,neuromax_sales_india_metrics_rpt,Backfill required for last 3 months
Japan Datawarehouse,Diab_1_28_Engagement_qtr,Diab 1 28 Engagement Qtr,csv,Turkey,Diab_1,"Engagement, Units, Revenue",Lakshya Mishra,Veeva,veeva21@vendor.net,Veeva CRM,Automated,akira955@company.com,johanna@dr.com774@dr.com,Engagement Data,Product Inventory Snapshot,"Contains engagement data for Diab_1 in Turkey, with fields: volume, price.",adls/engagement/diab_1/turkey/,gcs,Active,,,End of Quarter,Quarterly,Yes,diab_1_turkey_engagement_z,diab_1_engagement_quarterly_xform,diab_1_engagement_turkey_metri_rpt,PII masked at source
EU Datawarehouse,Diab_1_29_Sales_qtr,Diab 1 29 Sales Qtr,psv,Turkey,Diab_1,"Engagement, Country, HCP",Lakshya Mishra,Veeva,veeva320@veeva.com,Veeva CRM,Manual,smith@dr.com366@dr.com,johanna@dr.com301@iqvia.com,Sales Data,Weekly Rep HCP Engagement Data,"Contains sales data for Diab_1 in Turkey, with fields: ta, hcp, region, engagement.",adls/sales/diab_1/turkey/,s3,Inactive,08/13/2023,Contract expired on 08/13/2023,Beginning of week,Quarterly,No,diab_1_turkey_sales_z,diab_1_sales_quarterly_xform,,Backfill required for last 3 months
Global Datawarehouse,All Brands_30_Engagement_daily,All Brands 30 Engagement Daily,csv,US,All Brands,"Revenue, Brand, Price, Region",Lakshya Mishra,IQVIA,iqvia22@veeva.com,IQVIA,Automated,jones895@dr.com,johanna@dr.com127@iqvia.com,Engagement Data,Regional Sales Data,"Contains engagement data for All Brands in US, with fields: hcp, volume, engagement.",s3/engagement/allbrands/us/,s3,Active,,,End of week,Daily,Yes,all_brands_us_engagement_z,all_brands_engagement_daily_xform,all_brands_engagement_us_metri_rpt,This file is set to expire by end of 2025
Global Datawarehouse,All Brands_31_Engagement_qtr,All Brands 31 Engagement Qtr,psv,India,All Brands,"Rep, Revenue, Price, HCP, Units",Lakshya Mishra,Veeva,veeva932@veeva.com,IQVIA,Automated,jones@dr.com755@dr.com,sridhar186@vendor.net,Engagement Data,Regional Sales Data,"Contains engagement data for All Brands in India, with fields: engagement, volume, region.",adls/engagement/allbrands/india/,s3,Deprecated,05/16/2024,Replaced by new pipeline on 05/16/2024,Beginning of week,Quarterly,No,all_brands_india_engagement_z,all_brands_engagement_quarterl_xform,all_brands_engagement_india_me_rpt,New processing pipeline in progress
Japan Datawarehouse,All Brands_32_Sales_weekly,All Brands 32 Sales Weekly,psv,Turkey,All Brands,"TA, Country, Units",Chen,IQVIA,iqvia107@vendor.net,SAP BW,API Pull,jones@dr.com687@vendor.net,johanna@dr.com204@vendor.net,Sales Data,Regional Sales Data,"Contains sales data for All Brands in Turkey, with fields: ta, volume, revenue.",s3/sales/allbrands/turkey/,s3,Inactive,04/29/2024,Contract expired on 04/29/2024,Beginning of week,Weekly,No,all_brands_turkey_sales_z,all_brands_sales_weekly_xform,all_brands_sales_turkey_metric_rpt,Backfill required for last 3 months
Japan Datawarehouse,All Brands_33_Engagement_qtr,All Brands 33 Engagement Qtr,tsv,US,All Brands,"TA, Engagement, Rep, Brand, HCP",Lakshya Mishra,IQVIA,iqvia358@vendor.net,IQVIA,Automated,jones@dr.com495@veeva.com,johanna@dr.com193@veeva.com,Engagement Data,Regional Sales Data,"Contains engagement data for All Brands in US, with fields: hcp, revenue.",adls/engagement/allbrands/us/,s3,Inactive,12/04/2024,Contract expired on 12/04/2024,End of Quarter,Quarterly,No,all_brands_us_engagement_z,all_brands_engagement_quarterl_xform,,New processing pipeline in progress
Global Datawarehouse,Diab_1_34_Sales_daily,Diab 1 34 Sales Daily,xlsx,India,Diab_1,"HCP, Units, Region, TA",Lakshya Mishra,Veeva,veeva417@iqvia.com,Veeva CRM,Automated,jones@dr.com736@iqvia.com,johanna@dr.com291@company.com,Sales Data,Weekly Rep HCP Engagement Data,"Contains sales data for Diab_1 in India, with fields: ta, revenue.",s3/sales/diab_1/india/,s3,Active,,,Beginning of week,Daily,No,diab_1_india_sales_z,diab_1_sales_daily_xform,diab_1_sales_india_metrics_rpt,Schema change expected next quarter
Japan Datawarehouse,NeuroMax_35_Engagement_qtr,Neuromax 35 Engagement Qtr,json,UK,NeuroMax,"TA, Volume, Region",Lakshya Mishra,IMS Health,ims106@company.com,IQVIA,Manual,johanna670@veeva.com,johanna@dr.com2@iqvia.com,Engagement Data,Weekly Rep HCP Engagement Data,"Contains engagement data for NeuroMax in UK, with fields: ta, volume, rep, price.",adls/engagement/neuromax/uk/,s3,Active,,,Beginning of week,Quarterly,No,neuromax_uk_engagement_z,neuromax_engagement_quarterly_xform,neuromax_engagement_uk_metrics_rpt,PII masked at source
US Datawarehouse,All Brands_36_Engagement_weekly,All Brands 36 Engagement Weekly,csv,UK,All Brands,"Region, HCP, Rep, Engagement",Sridhar,IQVIA,iqvia432@vendor.net,IQVIA,Manual,smith@dr.com655@dr.com,johanna@dr.com988@dr.com,Engagement Data,Regional Sales Data,"Contains engagement data for All Brands in UK, with fields: rep, price.",adls/engagement/allbrands/uk/,gcs,Inactive,06/16/2023,Contract expired on 06/16/2023,End of week,Weekly,No,all_brands_uk_engagement_z,all_brands_engagement_weekly_xform,all_brands_engagement_uk_metri_rpt,Schema change expected next quarter
Global Datawarehouse,Diab_1_37_Engagement_weekly,Diab 1 37 Engagement Weekly,psv,Turkey,Diab_1,"Rep, Country, Brand, TA, Volume",Lakshya Mishra,IQVIA,iqvia812@veeva.com,SAP BW,API Pull,jones548@vendor.net,johanna@dr.com845@vendor.net,Engagement Data,Weekly Rep HCP Engagement Data,"Contains engagement data for Diab_1 in Turkey, with fields: volume, region, hcp.",s3/engagement/diab_1/turkey/,adls,Inactive,03/25/2023,Contract expired on 03/25/2023,Monthly,Weekly,Yes,diab_1_turkey_engagement_z,diab_1_engagement_weekly_xform,diab_1_engagement_turkey_metri_rpt,This file is set to expire by end of 2025
Global Datawarehouse,CardioX_38_Sales_qtr,Cardiox 38 Sales Qtr,csv,US,CardioX,"Region, Units, Revenue, Rep, Engagement",Maria,Veeva,veeva594@vendor.net,IQVIA,Manual,smith@dr.com803@veeva.com,johanna@dr.com670@dr.com,Sales Data,Product Inventory Snapshot,"Contains sales data for CardioX in US, with fields: ta, engagement, rep.",s3/sales/cardiox/us/,s3,Active,,,End of week,Quarterly,No,cardiox_us_sales_z,cardiox_sales_quarterly_xform,,Backfill required for last 3 months
Japan Datawarehouse,All Brands_39_Engagement_qtr,All Brands 39 Engagement Qtr,csv,Turkey,All Brands,"Rep, Country, Engagement, Volume, Revenue",Lakshya Mishra,IQVIA,iqvia382@dr.com,SAP BW,SFTP Drop,maria690@vendor.net,johanna@dr.com927@iqvia.com,Engagement Data,Regional Sales Data,"Contains engagement data for All Brands in Turkey, with fields: ta, hcp, revenue, price.",adls/engagement/allbrands/turkey/,adls,Active,,,End of Quarter,Quarterly,Yes,all_brands_turkey_engagement_z,all_brands_engagement_quarterl_xform,all_brands_engagement_turkey_m_rpt,Backfill required for last 3 months
Japan Datawarehouse,Diab_1_40_Sales_qtr,Diab 1 40 Sales Qtr,parquet,US,Diab_1,"Rep, Price, Revenue, Engagement",Lakshya Mishra,Veeva,veeva917@company.com,Veeva CRM,Automated,jones@dr.com768@vendor.net,johanna@dr.com794@company.com,Sales Data,Campaign Metrics,"Contains sales data for Diab_1 in US, with fields: ta, volume.",s3/sales/diab_1/us/,s3,Inactive,07/25/2024,Contract expired on 07/25/2024,Beginning of week,Quarterly,No,diab_1_us_sales_z,diab_1_sales_quarterly_xform,,New processing pipeline in progress
US Datawarehouse,Diab_1_41_Marketing_qtr,Diab 1 41 Marketing Qtr,csv,US,Diab_1,"Region, HCP, Revenue, Volume, Country",Lakshya Mishra,IQVIA,iqvia366@company.com,Veeva CRM,Manual,jones@dr.com651@company.com,johanna@dr.com399@dr.com,Marketing Data,Monthly Claims Summary,"Contains marketing data for Diab_1 in US, with fields: rep, price.",s3/marketing/diab_1/us/,gcs,Inactive,08/12/2024,Contract expired on 08/12/2024,Monthly,Quarterly,No,diab_1_us_marketing_z,diab_1_marketing_quarterly_xform,,New processing pipeline in progress
US Datawarehouse,NeuroMax_42_Engagement_weekly,Neuromax 42 Engagement Weekly,csv,Brazil,NeuroMax,"Region, Units, Brand, Price, HCP",Sridhar,IQVIA,iqvia995@veeva.com,SAP BW,Automated,smith@dr.com544@iqvia.com,johanna@dr.com780@iqvia.com,Engagement Data,Weekly Rep HCP Engagement Data,"Contains engagement data for NeuroMax in Brazil, with fields: revenue, hcp, engagement.",adls/engagement/neuromax/brazil/,s3,Inactive,03/11/2024,Contract expired on 03/11/2024,Beginning of week,Weekly,Yes,neuromax_brazil_engagement_z,neuromax_engagement_weekly_xform,neuromax_engagement_brazil_met_rpt,PII masked at source
Global Datawarehouse,All Brands_43_Claims_qtr,All Brands 43 Claims Qtr,csv,Turkey,All Brands,"Brand, TA, HCP, Engagement",Lakshya Mishra,IQVIA,iqvia937@vendor.net,Veeva CRM,Automated,jones@dr.com393@company.com,sridhar932@veeva.com,Claims Data,Weekly Rep HCP Engagement Data,"Contains claims data for All Brands in Turkey, with fields: rep, engagement, hcp, region.",gcs/claims/allbrands/turkey/,s3,Inactive,06/19/2024,Contract expired on 06/19/2024,Middle of month,Quarterly,No,all_brands_turkey_claims_z,all_brands_claims_quarterly_xform,all_brands_claims_turkey_metri_rpt,This file is set to expire by end of 2025
Global Datawarehouse,All Brands_44_Sales_weekly,All Brands 44 Sales Weekly,csv,Turkey,All Brands,"TA, Rep, Brand, Volume, Units",Lakshya Mishra,Snowflake External,snowflake76@veeva.com,IQVIA,Automated,jones@dr.com998@vendor.net,johanna@dr.com927@company.com,Sales Data,Weekly Rep HCP Engagement Data,"Contains sales data for All Brands in Turkey, with fields: engagement, volume, price, hcp.",s3/sales/allbrands/turkey/,s3,Active,,,Beginning of week,Weekly,No,all_brands_turkey_sales_z,all_brands_sales_weekly_xform,all_brands_sales_turkey_metric_rpt,PII masked at source
Japan Datawarehouse,CardioX_45_Engagement_qtr,Cardiox 45 Engagement Qtr,psv,Canada,CardioX,"Country, Brand, Region",Sridhar,Veeva,veeva582@veeva.com,IQVIA,Manual,maria260@veeva.com,jones931@iqvia.com,Engagement Data,Campaign Metrics,"Contains engagement data for CardioX in Canada, with fields: region, ta.",gcs/engagement/cardiox/canada/,s3,Active,,,End of week,Biweekly,No,cardiox_canada_engagement_z,cardiox_engagement_biweekly_xform,cardiox_engagement_canada_metr_rpt,This file is set to expire by end of 2025
